RecordID,ProductID,Name,Color,StandardCost,ListPrice,Size,SizeUnitMeasureCode,WeightUnitMeasureCode,Weight,Style,ProductSubCategory,ProductCategory,UpdatedListPrice,UpdatedCost,SpecialOfferID,DiscountDescription,DiscountPct,DiscountType,DiscountCategory,StartDate,EndDate,MinQty,MaxQty,Cluster
11,709,"Mountain Bike Socks, M",White,3.3963,9.5,42.0,NA,NA,0.0,U ,Socks,Clothing,9.5,3.3963,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
12,709,"Mountain Bike Socks, M",White,3.3963,9.5,42.0,NA,NA,0.0,U ,Socks,Clothing,9.5,3.3963,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
13,709,"Mountain Bike Socks, M",White,3.3963,9.5,42.0,NA,NA,0.0,U ,Socks,Clothing,9.5,3.3963,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,15,99999999.0,0
14,709,"Mountain Bike Socks, M",White,3.3963,9.5,42.0,NA,NA,0.0,U ,Socks,Clothing,9.5,3.3963,4,Volume Discount 25 to 40,0.1,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,25,40.0,0
15,710,"Mountain Bike Socks, L",White,3.3963,9.5,46.0,NA,NA,0.0,U ,Socks,Clothing,9.5,3.3963,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
16,711,"Sport-100 Helmet, Blue",Blue,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
17,711,"Sport-100 Helmet, Blue",Blue,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
18,711,"Sport-100 Helmet, Blue",Blue,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,15,99999999.0,0
19,711,"Sport-100 Helmet, Blue",Blue,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,8,Sport Helmet Discount-2002,0.1,Seasonal Discount,Reseller,2012-05-30 00:00:00.000,2012-06-29 00:00:00.000,0,99999999.0,2
20,711,"Sport-100 Helmet, Blue",Blue,13.0863,34.99,0.0,NA,NA,0.0,NA,Helmets,Accessories,34.99,13.0863,11,Sport Helmet Discount-2003,0.15,Seasonal Discount,Reseller,2013-05-30 00:00:00.000,2013-06-29 00:00:00.000,0,99999999.0,2
21,712,AWC Logo Cap,Multi,6.9223,8.99,0.0,NA,NA,0.0,U ,Caps,Clothing,8.99,6.9223,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
22,712,AWC Logo Cap,Multi,6.9223,8.99,0.0,NA,NA,0.0,U ,Caps,Clothing,8.99,6.9223,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
23,712,AWC Logo Cap,Multi,6.9223,8.99,0.0,NA,NA,0.0,U ,Caps,Clothing,8.99,6.9223,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,15,99999999.0,0
24,712,AWC Logo Cap,Multi,6.9223,8.99,0.0,NA,NA,0.0,U ,Caps,Clothing,8.99,6.9223,4,Volume Discount 25 to 40,0.1,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,25,40.0,0
25,713,"Long-Sleeve Logo Jersey, S",Multi,38.4923,49.99,38.0,NA,NA,0.0,U ,Jerseys,Clothing,49.99,38.4923,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
26,714,"Long-Sleeve Logo Jersey, M",Multi,38.4923,49.99,42.0,NA,NA,0.0,U ,Jerseys,Clothing,49.99,38.4923,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
27,714,"Long-Sleeve Logo Jersey, M",Multi,38.4923,49.99,42.0,NA,NA,0.0,U ,Jerseys,Clothing,49.99,38.4923,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
28,714,"Long-Sleeve Logo Jersey, M",Multi,38.4923,49.99,42.0,NA,NA,0.0,U ,Jerseys,Clothing,49.99,38.4923,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,15,99999999.0,0
29,715,"Long-Sleeve Logo Jersey, L",Multi,38.4923,49.99,46.0,NA,NA,0.0,U ,Jerseys,Clothing,49.99,38.4923,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
30,715,"Long-Sleeve Logo Jersey, L",Multi,38.4923,49.99,46.0,NA,NA,0.0,U ,Jerseys,Clothing,49.99,38.4923,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
31,715,"Long-Sleeve Logo Jersey, L",Multi,38.4923,49.99,46.0,NA,NA,0.0,U ,Jerseys,Clothing,49.99,38.4923,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,15,99999999.0,0
32,715,"Long-Sleeve Logo Jersey, L",Multi,38.4923,49.99,46.0,NA,NA,0.0,U ,Jerseys,Clothing,49.99,38.4923,4,Volume Discount 25 to 40,0.1,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,25,40.0,0
33,716,"Long-Sleeve Logo Jersey, XL",Multi,38.4923,49.99,50.0,NA,NA,0.0,U ,Jerseys,Clothing,49.99,38.4923,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
34,716,"Long-Sleeve Logo Jersey, XL",Multi,38.4923,49.99,50.0,NA,NA,0.0,U ,Jerseys,Clothing,49.99,38.4923,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
35,717,"HL Road Frame - Red, 62",Red,868.6342,1431.5,62.0,CM ,LB ,2.3,U ,Road Frames,Components,1431.5,868.6342,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
36,718,"HL Road Frame - Red, 44",Red,868.6342,1431.5,44.0,CM ,LB ,2.12,U ,Road Frames,Components,1431.5,868.6342,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
37,719,"HL Road Frame - Red, 48",Red,868.6342,1431.5,48.0,CM ,LB ,2.16,U ,Road Frames,Components,1431.5,868.6342,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
38,720,"HL Road Frame - Red, 52",Red,868.6342,1431.5,52.0,CM ,LB ,2.2,U ,Road Frames,Components,1431.5,868.6342,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
39,721,"HL Road Frame - Red, 56",Red,868.6342,1431.5,56.0,CM ,LB ,2.24,U ,Road Frames,Components,1431.5,868.6342,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
40,722,"LL Road Frame - Black, 58",Black,204.6251,337.22,58.0,CM ,LB ,2.46,U ,Road Frames,Components,337.22,204.6251,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
41,722,"LL Road Frame - Black, 58",Black,204.6251,337.22,58.0,CM ,LB ,2.46,U ,Road Frames,Components,337.22,204.6251,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
42,723,"LL Road Frame - Black, 60",Black,204.6251,337.22,60.0,CM ,LB ,2.48,U ,Road Frames,Components,337.22,204.6251,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
43,723,"LL Road Frame - Black, 60",Black,204.6251,337.22,60.0,CM ,LB ,2.48,U ,Road Frames,Components,337.22,204.6251,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
44,724,"LL Road Frame - Black, 62",Black,204.6251,337.22,62.0,CM ,LB ,2.5,U ,Road Frames,Components,337.22,204.6251,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
45,724,"LL Road Frame - Black, 62",Black,204.6251,337.22,62.0,CM ,LB ,2.5,U ,Road Frames,Components,337.22,204.6251,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
46,725,"LL Road Frame - Red, 44",Red,187.1571,337.22,44.0,CM ,LB ,2.32,U ,Road Frames,Components,337.22,187.1571,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
47,725,"LL Road Frame - Red, 44",Red,187.1571,337.22,44.0,CM ,LB ,2.32,U ,Road Frames,Components,337.22,187.1571,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
48,725,"LL Road Frame - Red, 44",Red,187.1571,337.22,44.0,CM ,LB ,2.32,U ,Road Frames,Components,337.22,187.1571,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
49,726,"LL Road Frame - Red, 48",Red,187.1571,337.22,48.0,CM ,LB ,2.36,U ,Road Frames,Components,337.22,187.1571,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
50,726,"LL Road Frame - Red, 48",Red,187.1571,337.22,48.0,CM ,LB ,2.36,U ,Road Frames,Components,337.22,187.1571,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
51,727,"LL Road Frame - Red, 52",Red,187.1571,337.22,52.0,CM ,LB ,2.4,U ,Road Frames,Components,337.22,187.1571,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
52,727,"LL Road Frame - Red, 52",Red,187.1571,337.22,52.0,CM ,LB ,2.4,U ,Road Frames,Components,337.22,187.1571,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
53,728,"LL Road Frame - Red, 58",Red,187.1571,337.22,58.0,CM ,LB ,2.46,U ,Road Frames,Components,337.22,187.1571,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
54,728,"LL Road Frame - Red, 58",Red,187.1571,337.22,58.0,CM ,LB ,2.46,U ,Road Frames,Components,337.22,187.1571,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
55,729,"LL Road Frame - Red, 60",Red,187.1571,337.22,60.0,CM ,LB ,2.48,U ,Road Frames,Components,337.22,187.1571,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
56,729,"LL Road Frame - Red, 60",Red,187.1571,337.22,60.0,CM ,LB ,2.48,U ,Road Frames,Components,337.22,187.1571,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
57,730,"LL Road Frame - Red, 62",Red,187.1571,337.22,62.0,CM ,LB ,2.5,U ,Road Frames,Components,337.22,187.1571,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
58,730,"LL Road Frame - Red, 62",Red,187.1571,337.22,62.0,CM ,LB ,2.5,U ,Road Frames,Components,337.22,187.1571,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
59,730,"LL Road Frame - Red, 62",Red,187.1571,337.22,62.0,CM ,LB ,2.5,U ,Road Frames,Components,337.22,187.1571,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
60,731,"ML Road Frame - Red, 44",Red,352.1394,594.83,44.0,CM ,LB ,2.22,U ,Road Frames,Components,594.83,352.1394,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
61,732,"ML Road Frame - Red, 48",Red,352.1394,594.83,48.0,CM ,LB ,2.26,U ,Road Frames,Components,594.83,352.1394,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
62,733,"ML Road Frame - Red, 52",Red,352.1394,594.83,52.0,CM ,LB ,2.3,U ,Road Frames,Components,594.83,352.1394,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
63,734,"ML Road Frame - Red, 58",Red,352.1394,594.83,58.0,CM ,LB ,2.36,U ,Road Frames,Components,594.83,352.1394,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
64,735,"ML Road Frame - Red, 60",Red,352.1394,594.83,60.0,CM ,LB ,2.38,U ,Road Frames,Components,594.83,352.1394,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
65,736,"LL Road Frame - Black, 44",Black,204.6251,337.22,44.0,CM ,LB ,2.32,U ,Road Frames,Components,337.22,204.6251,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
66,736,"LL Road Frame - Black, 44",Black,204.6251,337.22,44.0,CM ,LB ,2.32,U ,Road Frames,Components,337.22,204.6251,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
67,737,"LL Road Frame - Black, 48",Black,204.6251,337.22,48.0,CM ,LB ,2.36,U ,Road Frames,Components,337.22,204.6251,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
68,737,"LL Road Frame - Black, 48",Black,204.6251,337.22,48.0,CM ,LB ,2.36,U ,Road Frames,Components,337.22,204.6251,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
69,738,"LL Road Frame - Black, 52",Black,204.6251,337.22,52.0,CM ,LB ,2.4,U ,Road Frames,Components,337.22,204.6251,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
70,738,"LL Road Frame - Black, 52",Black,204.6251,337.22,52.0,CM ,LB ,2.4,U ,Road Frames,Components,337.22,204.6251,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
71,738,"LL Road Frame - Black, 52",Black,204.6251,337.22,52.0,CM ,LB ,2.4,U ,Road Frames,Components,337.22,204.6251,12,LL Road Frame Sale,0.35,Excess Inventory,Reseller,2013-05-30 00:00:00.000,2013-07-14 00:00:00.000,0,99999999.0,4
72,739,"HL Mountain Frame - Silver, 42",Silver,747.2002,1364.5,42.0,CM ,LB ,2.72,U ,Mountain Frames,Components,1364.5,747.2002,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
73,740,"HL Mountain Frame - Silver, 44",Silver,706.811,1364.5,44.0,CM ,LB ,2.76,U ,Mountain Frames,Components,1364.5,706.811,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
74,741,"HL Mountain Frame - Silver, 48",Silver,706.811,1364.5,48.0,CM ,LB ,2.8,U ,Mountain Frames,Components,1364.5,706.811,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
75,742,"HL Mountain Frame - Silver, 46",Silver,747.2002,1364.5,46.0,CM ,LB ,2.84,U ,Mountain Frames,Components,1364.5,747.2002,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
76,743,"HL Mountain Frame - Black, 42",Black,739.041,1349.6,42.0,CM ,LB ,2.72,U ,Mountain Frames,Components,1349.6,739.041,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
77,744,"HL Mountain Frame - Black, 44",Black,699.0928,1349.6,44.0,CM ,LB ,2.76,U ,Mountain Frames,Components,1349.6,699.0928,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
78,745,"HL Mountain Frame - Black, 48",Black,699.0928,1349.6,48.0,CM ,LB ,2.8,U ,Mountain Frames,Components,1349.6,699.0928,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
79,746,"HL Mountain Frame - Black, 46",Black,739.041,1349.6,46.0,CM ,LB ,2.84,U ,Mountain Frames,Components,1349.6,739.041,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
80,747,"HL Mountain Frame - Black, 38",Black,739.041,1349.6,38.0,CM ,LB ,2.68,U ,Mountain Frames,Components,1349.6,739.041,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
81,748,"HL Mountain Frame - Silver, 38",Silver,747.2002,1364.5,38.0,CM ,LB ,2.68,U ,Mountain Frames,Components,1364.5,747.2002,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
82,748,"HL Mountain Frame - Silver, 38",Silver,747.2002,1364.5,38.0,CM ,LB ,2.68,U ,Mountain Frames,Components,1364.5,747.2002,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
83,749,"Road-150 Red, 62",Red,2171.2942,3578.27,62.0,CM ,LB ,15.0,U ,Road Bikes,Bikes,3578.27,2171.2942,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,1
84,750,"Road-150 Red, 44",Red,2171.2942,3578.27,44.0,CM ,LB ,13.77,U ,Road Bikes,Bikes,3578.27,2171.2942,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,1
85,751,"Road-150 Red, 48",Red,2171.2942,3578.27,48.0,CM ,LB ,14.13,U ,Road Bikes,Bikes,3578.27,2171.2942,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,1
86,752,"Road-150 Red, 52",Red,2171.2942,3578.27,52.0,CM ,LB ,14.42,U ,Road Bikes,Bikes,3578.27,2171.2942,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,1
87,753,"Road-150 Red, 56",Red,2171.2942,3578.27,56.0,CM ,LB ,14.68,U ,Road Bikes,Bikes,3578.27,2171.2942,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,1
88,754,"Road-450 Red, 58",Red,884.7083,1457.99,58.0,CM ,LB ,17.79,U ,Road Bikes,Bikes,1457.99,884.7083,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
89,754,"Road-450 Red, 58",Red,884.7083,1457.99,58.0,CM ,LB ,17.79,U ,Road Bikes,Bikes,1457.99,884.7083,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
90,755,"Road-450 Red, 60",Red,884.7083,1457.99,60.0,CM ,LB ,17.9,U ,Road Bikes,Bikes,1457.99,884.7083,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
91,756,"Road-450 Red, 44",Red,884.7083,1457.99,44.0,CM ,LB ,16.77,U ,Road Bikes,Bikes,1457.99,884.7083,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
92,757,"Road-450 Red, 48",Red,884.7083,1457.99,48.0,CM ,LB ,17.13,U ,Road Bikes,Bikes,1457.99,884.7083,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
93,758,"Road-450 Red, 52",Red,884.7083,1457.99,52.0,CM ,LB ,17.42,U ,Road Bikes,Bikes,1457.99,884.7083,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
94,759,"Road-650 Red, 58",Red,486.7066,782.99,58.0,CM ,LB ,19.79,U ,Road Bikes,Bikes,782.99,486.7066,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
95,760,"Road-650 Red, 60",Red,486.7066,782.99,60.0,CM ,LB ,19.9,U ,Road Bikes,Bikes,782.99,486.7066,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
96,760,"Road-650 Red, 60",Red,486.7066,782.99,60.0,CM ,LB ,19.9,U ,Road Bikes,Bikes,782.99,486.7066,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
97,760,"Road-650 Red, 60",Red,486.7066,782.99,60.0,CM ,LB ,19.9,U ,Road Bikes,Bikes,782.99,486.7066,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,15,99999999.0,0
98,761,"Road-650 Red, 62",Red,486.7066,782.99,62.0,CM ,LB ,20.0,U ,Road Bikes,Bikes,782.99,486.7066,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
99,761,"Road-650 Red, 62",Red,486.7066,782.99,62.0,CM ,LB ,20.0,U ,Road Bikes,Bikes,782.99,486.7066,2,Volume Discount 11 to 14,0.02,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,11,14.0,0
100,761,"Road-650 Red, 62",Red,486.7066,782.99,62.0,CM ,LB ,20.0,U ,Road Bikes,Bikes,782.99,486.7066,3,Volume Discount 15 to 24,0.05,Volume Discount,Reseller,2011-05-31 00:00:00.000,2014-05-30 00:00:00.000,15,99999999.0,0
101,762,"Road-650 Red, 44",Red,486.7066,782.99,44.0,CM ,LB ,18.77,U ,Road Bikes,Bikes,782.99,486.7066,1,No Discount,0.0,No Discount,No Discount,2011-05-01 00:00:00.000,2014-11-30 00:00:00.000,0,99999999.0,2
